bill_id,customer_id,bill_month,bill_amount,payment_status
30001,485,20-03-2024,315,Delayed
30002,2,08-06-2024,298,Failed
30003,438,12-03-2024,798,Failed
30004,376,28-04-2023,1058,Failed
30005,402,08-09-2022,1887,Paid
30006,54,08-11-2023,493,Paid
30007,166,04-02-2023,1399,Paid
30008,353,02-05-2024,1354,Paid
30009,329,21-05-2022,1203,Paid
30010,143,13-01-2023,832,Delayed
30011,448,30-04-2022,1945,Paid
30012,92,04-12-2022,1802,Delayed
30013,8,26-03-2023,255,Paid
30014,252,06-06-2024,1235,Paid
30015,430,10-06-2022,391,Paid
30016,100,15-04-2022,1797,Delayed
30017,39,29-04-2024,1192,Paid
30018,436,02-04-2022,1732,Paid
30019,136,30-04-2023,1375,Paid
30020,362,23-02-2023,1245,Paid
30021,434,25-02-2023,228,Delayed
30022,50,17-12-2023,1591,Paid
30023,83,06-07-2023,1923,Paid
30024,254,23-02-2022,1613,Paid
30025,196,24-08-2023,508,Delayed
30026,27,09-10-2023,1843,Paid
30027,77,29-05-2023,1623,Paid
30028,294,07-04-2022,1575,Delayed
30029,255,22-07-2023,770,Paid
30030,21,21-05-2024,264,Paid
30031,218,28-09-2023,364,Paid
30032,45,04-07-2022,1714,Delayed
30033,442,09-03-2023,1875,Paid
30034,407,16-04-2023,762,Failed
30035,182,05-05-2022,378,Paid
30036,286,30-11-2022,742,Paid
30037,479,21-09-2022,924,Paid
30038,351,01-05-2024,975,Delayed
30039,144,10-07-2022,1239,Paid
30040,52,29-04-2024,324,Paid
30041,251,28-12-2023,280,Paid
30042,106,09-08-2022,1262,Paid
30043,297,18-07-2022,1838,Paid
30044,199,10-12-2022,1441,Paid
30045,337,23-06-2022,1169,Paid
30046,280,05-08-2022,1404,Paid
30047,148,25-07-2022,636,Paid
30048,103,02-08-2023,1890,Paid
30049,411,08-01-2023,1166,Paid
30050,2,23-06-2022,1912,Paid
30051,256,19-03-2022,728,Paid
30052,60,19-11-2022,1875,Paid
30053,307,08-07-2023,1383,Paid
30054,385,30-07-2023,1948,Paid
30055,482,19-01-2023,1132,Paid
30056,91,20-04-2024,932,Paid
30057,101,13-03-2023,1996,Paid
30058,114,18-07-2022,755,Paid
30059,262,25-08-2023,1409,Paid
30060,422,07-01-2022,1576,Paid
30061,54,20-09-2022,1597,Paid
30062,188,26-09-2023,1689,Paid
30063,27,07-11-2023,439,Paid
30064,240,20-09-2023,1959,Paid
30065,80,09-06-2023,532,Paid
30066,190,20-01-2022,246,Paid
30067,319,14-12-2023,1333,Paid
30068,355,31-03-2024,1817,Paid
30069,91,11-09-2022,1326,Delayed
30070,35,21-08-2023,661,Failed
30071,58,29-06-2022,1296,Delayed
30072,189,19-01-2024,1789,Paid
30073,253,19-12-2022,515,Delayed
30074,36,27-07-2023,200,Paid
30075,358,28-12-2023,1976,Paid
30076,92,11-06-2024,570,Paid
30077,56,03-08-2022,1992,Paid
30078,67,24-12-2022,1691,Paid
30079,313,02-06-2024,1232,Paid
30080,169,25-08-2023,786,Paid
30081,287,31-08-2023,621,Paid
30082,131,27-07-2023,1480,Paid
30083,166,22-07-2023,1855,Paid
30084,437,08-08-2022,1031,Paid
30085,52,29-08-2023,1160,Paid
30086,152,06-07-2023,925,Paid
30087,410,03-12-2022,674,Paid
30088,105,15-11-2022,443,Paid
30089,367,30-01-2024,1559,Paid
30090,92,11-04-2023,890,Paid
30091,201,30-12-2023,686,Delayed
30092,293,18-06-2024,1051,Paid
30093,373,03-06-2022,1295,Paid
30094,219,17-12-2022,1943,Paid
30095,432,03-03-2022,951,Delayed
30096,67,05-04-2023,1907,Paid
30097,169,28-08-2022,1126,Paid
30098,305,09-07-2022,1227,Paid
30099,28,26-05-2022,1684,Paid
30100,288,06-06-2023,1588,Paid
30101,355,19-10-2022,1717,Paid
30102,455,04-10-2023,415,Paid
30103,327,01-03-2022,1436,Paid
30104,469,18-04-2023,1157,Paid
30105,32,18-11-2023,1547,Paid
30106,166,14-03-2022,508,Paid
30107,404,27-08-2022,236,Paid
30108,136,20-02-2023,1103,Paid
30109,68,28-06-2022,1283,Paid
30110,154,08-03-2022,1317,Paid
30111,463,16-08-2023,431,Paid
30112,326,18-03-2022,1770,Paid
30113,304,05-09-2022,711,Paid
30114,96,08-12-2023,348,Paid
30115,197,09-03-2022,1693,Delayed
30116,108,29-04-2024,413,Paid
30117,46,22-07-2023,597,Paid
30118,186,09-04-2022,1780,Paid
30119,454,21-02-2024,1799,Paid
30120,323,11-08-2023,1228,Paid
30121,285,22-04-2024,1303,Failed
30122,83,01-08-2023,387,Paid
30123,138,29-06-2023,1885,Paid
30124,327,20-02-2024,858,Paid
30125,237,26-06-2023,226,Paid
30126,449,22-06-2023,875,Paid
30127,321,31-05-2024,333,Paid
30128,145,23-12-2023,1988,Paid
30129,278,20-02-2024,503,Delayed
30130,100,20-11-2022,693,Paid
30131,14,03-05-2022,922,Paid
30132,262,02-02-2022,1502,Paid
30133,414,17-10-2023,1302,Paid
30134,494,25-05-2022,1058,Paid
30135,47,13-02-2024,589,Paid
30136,225,01-06-2023,1237,Delayed
30137,404,04-11-2023,797,Paid
30138,144,06-11-2022,1117,Delayed
30139,196,24-05-2022,1090,Paid
30140,290,26-10-2023,421,Paid
30141,257,11-06-2024,1825,Delayed
30142,461,01-06-2023,1026,Paid
30143,432,14-07-2022,464,Delayed
30144,8,28-04-2023,1542,Paid
30145,278,29-09-2023,1328,Paid
30146,324,20-04-2023,451,Paid
30147,290,11-08-2023,397,Paid
30148,444,28-03-2024,1278,Delayed
30149,429,18-06-2022,1126,Delayed
30150,293,30-12-2023,605,Paid
30151,377,02-07-2022,1660,Paid
30152,23,28-04-2024,1973,Paid
30153,84,23-04-2022,1679,Paid
30154,255,03-10-2022,1699,Failed
30155,373,21-04-2023,1569,Paid
30156,24,27-06-2022,684,Paid
30157,475,29-09-2023,1051,Paid
30158,397,18-10-2022,561,Paid
30159,325,10-03-2023,1952,Paid
30160,336,08-04-2023,410,Paid
30161,316,21-02-2023,899,Delayed
30162,38,14-04-2024,1075,Paid
30163,432,12-12-2023,812,Paid
30164,221,18-05-2022,1114,Delayed
30165,410,04-05-2023,1659,Delayed
30166,214,31-12-2023,341,Paid
30167,472,19-03-2024,1507,Paid
30168,333,17-06-2022,1292,Paid
30169,491,14-05-2022,1799,Delayed
30170,85,10-06-2022,1156,Paid
30171,385,23-02-2024,1932,Paid
30172,4,02-03-2024,1750,Delayed
30173,195,30-01-2024,1532,Failed
30174,114,04-01-2024,1063,Paid
30175,215,07-04-2024,1485,Paid
30176,336,12-01-2023,258,Paid
30177,365,26-11-2022,720,Paid
30178,141,30-01-2023,507,Paid
30179,167,21-06-2022,1742,Paid
30180,287,15-04-2023,1604,Paid
30181,408,10-02-2024,539,Delayed
30182,495,26-02-2023,1824,Failed
30183,384,13-09-2022,1771,Delayed
30184,335,11-11-2023,1098,Paid
30185,5,30-04-2022,1306,Paid
30186,127,19-01-2022,1456,Paid
30187,433,18-03-2024,960,Paid
30188,86,31-03-2024,438,Paid
30189,86,04-09-2022,1326,Paid
30190,395,24-07-2022,1945,Paid
30191,24,24-02-2023,423,Paid
30192,45,08-03-2022,477,Paid
30193,458,08-12-2022,1615,Delayed
30194,111,11-12-2022,1900,Paid
30195,290,28-11-2023,627,Paid
30196,395,22-01-2023,600,Paid
30197,185,08-12-2022,244,Paid
30198,235,18-04-2022,712,Paid
30199,157,08-11-2023,1398,Paid
30200,406,25-09-2023,1222,Paid
30201,161,06-02-2023,1852,Paid
30202,200,19-08-2023,1588,Paid
30203,122,29-10-2022,1395,Paid
30204,433,12-02-2024,502,Paid
30205,224,17-04-2022,350,Paid
30206,488,27-09-2023,549,Paid
30207,365,08-08-2023,903,Paid
30208,23,22-04-2023,290,Paid
30209,197,03-12-2022,1383,Paid
30210,479,05-04-2023,304,Delayed
30211,285,09-11-2022,939,Delayed
30212,6,03-06-2022,1325,Failed
30213,308,11-03-2024,330,Paid
30214,345,01-09-2023,967,Delayed
30215,89,14-03-2024,1511,Paid
30216,479,15-12-2022,656,Paid
30217,378,29-02-2024,1097,Delayed
30218,398,05-02-2024,1323,Paid
30219,273,17-08-2023,1243,Paid
30220,464,13-06-2023,447,Delayed
30221,284,27-10-2022,390,Delayed
30222,265,23-11-2023,783,Paid
30223,115,29-12-2023,1535,Paid
30224,124,18-06-2023,366,Paid
30225,450,24-08-2022,1796,Paid
30226,260,15-06-2024,369,Delayed
30227,404,30-07-2022,1855,Failed
30228,169,13-10-2022,1438,Paid
30229,36,27-02-2023,1731,Paid
30230,229,20-12-2023,1396,Paid
30231,134,09-05-2023,734,Delayed
30232,244,23-02-2023,606,Delayed
30233,65,16-04-2024,699,Paid
30234,237,06-02-2024,1360,Paid
30235,434,11-12-2022,297,Paid
30236,448,07-06-2023,1034,Paid
30237,3,29-03-2024,1279,Paid
30238,500,15-11-2022,445,Paid
30239,37,08-12-2022,882,Paid
30240,109,14-01-2023,911,Paid
30241,490,30-06-2023,305,Failed
30242,250,25-09-2023,1270,Paid
30243,3,18-01-2024,1043,Paid
30244,235,26-11-2023,1508,Paid
30245,417,13-08-2023,244,Paid
30246,443,27-09-2023,594,Paid
30247,251,27-02-2024,1342,Paid
30248,143,27-07-2022,1282,Paid
30249,248,05-07-2022,1369,Paid
30250,56,17-01-2022,814,Paid
30251,61,17-10-2022,1802,Paid
30252,68,11-09-2022,1148,Paid
30253,79,03-09-2023,1719,Paid
30254,327,22-03-2023,872,Paid
30255,367,01-04-2023,1949,Paid
30256,196,27-05-2022,1340,Paid
30257,446,02-06-2024,435,Failed
30258,195,24-04-2022,1440,Paid
30259,23,07-04-2022,1346,Paid
30260,14,17-01-2023,827,Paid
30261,390,11-01-2023,1485,Paid
30262,289,21-05-2023,368,Paid
30263,9,18-11-2022,1930,Paid
30264,140,24-11-2022,1019,Paid
30265,242,15-12-2022,590,Paid
30266,253,19-06-2022,1372,Paid
30267,227,03-11-2022,1468,Paid
30268,373,18-07-2022,699,Failed
30269,95,26-06-2022,1413,Paid
30270,179,04-05-2022,372,Paid
30271,3,06-06-2022,791,Paid
30272,184,30-08-2023,370,Paid
30273,46,13-10-2022,1156,Delayed
30274,292,03-09-2023,874,Paid
30275,141,28-05-2024,1007,Paid
30276,13,30-05-2024,821,Paid
30277,186,23-08-2022,917,Paid
30278,482,03-12-2023,536,Paid
30279,85,21-10-2022,1633,Paid
30280,418,24-02-2024,1292,Paid
30281,490,21-04-2024,1320,Paid
