issue_id,customer_id,issue_date,issue_type,resolution_time_hrs,resolved,Table1.city
20001,17,22-10-2023,No Signal,2,Yes,Bangalore
20007,1,04-02-2022,No Signal,20,Yes,Kolkata
20161,1,25-04-2022,No Signal,39,Yes,Kolkata
20002,366,16-09-2022,Slow Internet,67,Yes,Mumbai
20122,366,14-07-2023,Call Drop,68,Yes,Mumbai
20003,389,26-06-2023,Call Drop,15,Yes,Bangalore
20060,389,22-08-2023,Slow Internet,49,No,Bangalore
20208,389,03-06-2022,No Signal,56,Yes,Bangalore
20004,26,14-06-2023,Slow Internet,21,Yes,Bangalore
20464,4,11-12-2022,No Signal,68,Yes,Chennai
20005,213,06-07-2022,No Signal,59,Yes,Hyderabad
20143,213,16-04-2022,No Signal,9,Yes,Hyderabad
20353,5,02-09-2022,Call Drop,37,Yes,Delhi
20006,385,31-07-2022,Call Drop,39,Yes,Hyderabad
20332,385,02-04-2024,No Signal,7,Yes,Hyderabad
20008,291,27-05-2022,Slow Internet,1,Yes,Mumbai
20343,291,17-10-2022,Call Drop,63,Yes,Mumbai
20145,8,07-03-2022,Slow Internet,55,Yes,Mumbai
20009,265,09-10-2022,Slow Internet,9,Yes,Delhi
20501,265,23-05-2023,No Signal,5,Yes,Delhi
20116,9,29-07-2022,Call Drop,58,Yes,Bangalore
20010,343,01-07-2023,No Signal,51,Yes,Delhi
20023,343,08-09-2023,Slow Internet,6,No,Delhi
20027,343,04-01-2024,Slow Internet,41,Yes,Delhi
20069,343,10-02-2024,Call Drop,71,Yes,Delhi
20011,38,11-08-2023,Call Drop,38,Yes,Mumbai
20025,38,08-04-2022,Slow Internet,16,Yes,Mumbai
20039,38,02-06-2022,Call Drop,6,Yes,Mumbai
20082,38,06-12-2022,Call Drop,6,Yes,Mumbai
20434,38,01-11-2023,No Signal,35,Yes,Mumbai
20012,233,07-08-2023,No Signal,15,Yes,Mumbai
20453,233,06-10-2023,Call Drop,40,Yes,Mumbai
20107,12,02-05-2024,Slow Internet,8,Yes,Kolkata
20171,12,17-03-2022,Slow Internet,6,Yes,Kolkata
20013,260,06-09-2022,Slow Internet,41,Yes,Bangalore
20427,260,09-02-2023,No Signal,68,No,Bangalore
20049,13,25-01-2024,No Signal,58,Yes,Kolkata
20160,13,27-06-2022,Call Drop,8,Yes,Kolkata
20014,308,26-02-2022,Call Drop,47,Yes,Chennai
20026,308,14-08-2022,No Signal,29,Yes,Chennai
20297,14,01-01-2022,Call Drop,19,Yes,Mumbai
20015,403,18-05-2024,No Signal,26,Yes,Delhi
20429,403,21-11-2022,No Signal,58,Yes,Delhi
20016,485,01-11-2022,Slow Internet,54,Yes,Delhi
20119,485,18-05-2022,No Signal,26,Yes,Delhi
20047,16,02-01-2024,Call Drop,45,Yes,Bangalore
20319,16,25-04-2022,Slow Internet,4,No,Bangalore
20017,261,06-06-2023,Call Drop,70,Yes,Mumbai
20098,261,09-02-2022,Slow Internet,52,Yes,Mumbai
20018,476,26-12-2023,No Signal,39,Yes,Bangalore
20341,18,14-12-2023,Call Drop,55,Yes,Delhi
20019,238,27-12-2022,Call Drop,17,No,Mumbai
20386,238,16-01-2022,No Signal,49,No,Mumbai
20020,106,25-08-2022,Slow Internet,70,Yes,Bangalore
20085,106,20-05-2023,Slow Internet,52,Yes,Bangalore
20217,106,01-06-2023,No Signal,67,No,Bangalore
20418,20,25-02-2024,Slow Internet,27,Yes,Hyderabad
20021,247,22-08-2022,No Signal,9,Yes,Chennai
20241,247,15-10-2023,Call Drop,44,Yes,Chennai
20155,21,02-08-2023,No Signal,34,Yes,Hyderabad
20022,304,11-08-2022,No Signal,46,Yes,Delhi
20144,304,21-10-2022,Call Drop,7,Yes,Delhi
20311,304,27-03-2024,Call Drop,22,Yes,Delhi
20124,22,14-04-2023,Call Drop,43,Yes,Hyderabad
20383,22,20-06-2022,Call Drop,58,Yes,Hyderabad
20402,22,18-10-2023,Slow Internet,54,Yes,Hyderabad
20024,447,23-11-2022,Slow Internet,68,Yes,Delhi
20147,447,07-07-2022,Slow Internet,17,Yes,Delhi
20091,24,18-07-2023,No Signal,39,Yes,Kolkata
20028,46,15-04-2024,No Signal,68,Yes,Delhi
20294,46,09-03-2022,No Signal,35,No,Delhi
20356,28,11-05-2023,Slow Internet,42,Yes,Delhi
20452,28,25-06-2022,Call Drop,13,No,Delhi
20029,210,04-05-2023,No Signal,62,Yes,Kolkata
20067,210,20-02-2022,Slow Internet,56,Yes,Kolkata
