usage_id,customer_id,usage_date,data_used_gb,call_minutes,network_type,High/Normal  Usage
10001,288,20-09-2023,2.01,49,4G,Normal Usage
10002,167,25-10-2023,2.5,134,5G,Normal Usage
10003,109,29-04-2024,0.74,117,4G,Normal Usage
10004,494,19-02-2022,7.42,59,4G,Normal Usage
10005,36,17-05-2023,0.47,124,5G,Normal Usage
10006,232,19-12-2023,8.43,115,5G,Normal Usage
10007,229,13-05-2023,0.04,172,5G,Normal Usage
10008,353,01-12-2022,1.64,186,4G,Normal Usage
10009,164,20-03-2022,1.01,87,5G,Normal Usage
10010,387,05-08-2023,1.49,202,4G,Normal Usage
10011,73,27-01-2022,2.11,181,5G,Normal Usage
10012,136,28-09-2022,1.43,167,4G,Normal Usage
10013,353,16-07-2023,1.34,180,4G,Normal Usage
10014,379,14-03-2024,3.3,299,4G,Normal Usage
10015,70,04-09-2022,2.89,129,4G,Normal Usage
10016,425,15-02-2024,4.48,148,5G,Normal Usage
10017,487,14-08-2023,0.72,208,4G,Normal Usage
10018,196,22-01-2023,2.35,110,4G,Normal Usage
10019,269,03-12-2023,2.2,136,4G,Normal Usage
10020,49,13-07-2023,1.15,210,4G,Normal Usage
10021,316,27-12-2022,1.66,145,5G,Normal Usage
10022,130,15-05-2024,0.94,83,5G,Normal Usage
10023,444,03-05-2023,0.38,29,5G,Normal Usage
10024,5,18-12-2022,0.6,64,4G,Normal Usage
10025,428,02-12-2023,0.28,23,4G,Normal Usage
10026,27,13-09-2022,2.87,210,4G,Normal Usage
10027,160,10-08-2022,2.7,221,4G,Normal Usage
10028,149,02-06-2024,7.52,89,4G,Normal Usage
10029,264,23-01-2024,3.27,105,5G,Normal Usage
10030,230,20-02-2024,0.13,171,4G,Normal Usage
10031,200,01-01-2022,5.39,229,4G,Normal Usage
10032,50,30-06-2023,4.96,76,4G,Normal Usage
10033,67,22-03-2023,1.46,67,4G,Normal Usage
10034,300,20-03-2022,2.2,91,5G,Normal Usage
10035,381,24-08-2022,9.33,87,4G,Normal Usage
10036,58,30-11-2022,1.9,49,4G,Normal Usage
10037,259,07-06-2024,5.89,102,4G,Normal Usage
10038,342,15-12-2022,0.22,45,5G,Normal Usage
10039,326,08-04-2022,0.53,178,5G,Normal Usage
10040,130,23-03-2022,1.45,266,4G,Normal Usage
10041,215,17-05-2023,2.2,267,4G,Normal Usage
10042,172,22-04-2023,4.24,7,4G,Normal Usage
10043,258,05-12-2023,11.11,264,4G,High Usage
10044,102,04-02-2024,1.23,77,5G,Normal Usage
10045,209,04-07-2023,0.12,239,5G,Normal Usage
10046,291,14-01-2022,4.04,257,5G,Normal Usage
10047,354,27-01-2023,2.32,195,4G,Normal Usage
10048,471,13-12-2022,0.55,130,5G,Normal Usage
10049,286,06-11-2022,1.71,260,4G,Normal Usage
10050,116,21-01-2023,3.39,241,5G,Normal Usage
10051,264,28-07-2022,3.68,170,4G,Normal Usage
10052,150,23-12-2022,1.73,146,4G,Normal Usage
10053,300,24-08-2023,0.91,269,4G,Normal Usage
10054,442,22-07-2023,9.1,148,4G,Normal Usage
10055,36,04-04-2022,2.72,298,4G,Normal Usage
10056,453,03-04-2022,1.31,27,5G,Normal Usage
10057,333,06-12-2022,0.82,148,4G,Normal Usage
10058,477,20-08-2023,3.28,279,4G,Normal Usage
10059,287,21-03-2023,0.69,181,4G,Normal Usage
10060,303,27-01-2024,0.47,165,4G,Normal Usage
10061,311,22-01-2022,1.89,16,5G,Normal Usage
10062,208,18-10-2022,0.86,149,4G,Normal Usage
10063,106,30-04-2023,2.48,44,4G,Normal Usage
10064,446,23-02-2024,0.31,188,5G,Normal Usage
